satellite,time,x_km,y_km,z_km
CALSPHERE 1,2025-06-29 07:55:33,1338.5367313501306,2755.3187548439237,-6677.154458033904
CALSPHERE 1,2025-06-29 08:05:33,2809.5541892811607,5647.076380317296,-3773.0093277037686
CALSPHERE 1,2025-06-29 08:15:33,3295.8596067548347,6559.595848607575,456.3694024226491
CALSPHERE 1,2025-06-29 08:25:33,2627.8870602182433,5174.802812121247,4526.194495813406
CALSPHERE 1,2025-06-29 08:35:33,1042.7995654747908,1984.0356428078683,7014.2543514224435
CALSPHERE 1,2025-06-29 08:45:33,-904.905247009295,-1896.6556063234068,7060.0659155030735
CALSPHERE 1,2025-06-29 08:55:33,-2538.463666795952,-5118.8887273642895,4650.024934350091
CALSPHERE 1,2025-06-29 09:05:33,-3288.557348595012,-6559.585554759744,618.999560268578
CALSPHERE 1,2025-06-29 09:15:33,-2890.739158613439,-5710.583470246189,-3627.950641509483
CALSPHERE 1,2025-06-29 09:25:33,-1482.6274434476493,-2865.786661802374,-6603.925160062716
CALSPHERE 1,2025-06-29 09:35:33,443.5623539129312,980.3844100788872,-7266.987746172536
CALSPHERE 1,2025-06-29 09:45:33,2214.535528059727,4483.490909543797,-5383.551737065324
CALSPHERE 1,2025-06-29 09:55:33,3209.7579943701962,6416.019858961521,-1610.4849201772831
CALSPHERE 1,2025-06-29 10:05:33,3080.049316571605,6099.9025083757315,2728.5511760269305
CALSPHERE 1,2025-06-29 10:15:33,1873.414520837553,3650.975964706302,6112.461570706022
CALSPHERE 1,2025-06-29 10:25:33,14.39629112359139,-69.34079820817433,7364.824762354842
CALSPHERE 1,2025-06-29 10:35:33,-1849.7378066801343,-3765.803973967763,6055.357675576773
CALSPHERE 1,2025-06-29 10:45:33,-3070.9955530873876,-6153.45463853341,2637.6555755827376
CALSPHERE 1,2025-06-29 10:55:33,-3221.622417751162,-6395.848883851823,-1700.827660716571
CALSPHERE 1,2025-06-29 11:05:33,-2246.6458485212283,-4403.60681903932,-5443.344472821011
CALSPHERE 1,2025-06-29 11:15:33,-486.4880206284872,-872.3659137283796,-7279.142423489257
CALSPHERE 1,2025-06-29 11:25:33,1443.618942605894,2963.5864097166727,-6565.263801090258
CALSPHERE 1,2025-06-29 11:35:33,2868.389826562698,5762.1288414347155,-3548.8964173796626
CALSPHERE 1,2025-06-29 11:45:33,3287.830658516691,6541.115119694196,714.0246628896222
CALSPHERE 1,2025-06-29 11:55:33,2556.0253473932735,5029.699037610084,4727.0478986590915
CALSPHERE 1,2025-06-29 12:05:33,932.4460627028903,1763.4642578274756,7088.575318211054
CALSPHERE 1,2025-06-29 12:15:33,-1015.3278592069672,-2115.902660722444,6982.414617403463
CALSPHERE 1,2025-06-29 12:25:33,-2610.581009894111,-5260.616069555432,4447.268089884771
CALSPHERE 1,2025-06-29 12:35:33,-3297.068816994047,-6574.06219278962,361.51246995211426
CALSPHERE 1,2025-06-29 12:45:33,-2832.467476559991,-5592.345490591555,-3850.1351166382465
CALSPHERE 1,2025-06-29 12:55:33,-1377.877251048532,-2656.0376426785924,-6712.9207589490525
CALSPHERE 1,2025-06-29 13:05:33,558.1974460461774,1208.3691123902602,-7224.562724525011
CALSPHERE 1,2025-06-29 13:15:33,2298.9561122383725,4649.959473020304,-5204.369460901852
CALSPHERE 1,2025-06-29 13:25:33,3234.3488590944808,6462.571953647606,-1357.3050096181028
CALSPHERE 1,2025-06-29 13:35:33,3036.3053193539213,6010.4495033696085,2966.7975153653597
CALSPHERE 1,2025-06-29 13:45:33,1776.9159869850982,3457.3599928695558,6252.607432219867
CALSPHERE 1,2025-06-29 13:55:33,-101.09517666410156,-299.38960509708977,7358.551866965728
CALSPHERE 1,2025-06-29 14:05:33,-1944.1124807438505,-3952.3924158958753,5904.983607396838
CALSPHERE 1,2025-06-29 14:15:33,-3111.331335439006,-6231.486284216219,2395.2082200347254
CALSPHERE 1,2025-06-29 14:25:33,-3193.6189640210364,-6337.643300454044,-1950.837966938905
CALSPHERE 1,2025-06-29 14:35:33,-2159.9595418757012,-4229.247477836061,-5613.319069200127
CALSPHERE 1,2025-06-29 14:45:33,-371.39505065917103,-642.751313390906,-7309.504482195617
CALSPHERE 1,2025-06-29 14:55:33,1546.8981702477824,3168.2132318885156,-6445.247202566094
CALSPHERE 1,2025-06-29 15:05:33,2923.6665229288096,5870.0641995208325,-3320.3847927926413
CALSPHERE 1,2025-06-29 15:15:33,3275.74523743112,6514.557697251698,970.793791525805
CALSPHERE 1,2025-06-29 15:25:33,2481.040950631284,4878.4084718909235,4922.0787526144695
CALSPHERE 1,2025-06-29 15:35:33,820.9767694817677,1540.7215163379499,7154.210306740164
CALSPHERE 1,2025-06-29 15:45:33,-1124.489468412594,-2332.586251771468,6896.211137495097
CALSPHERE 1,2025-06-29 15:55:33,-2679.487719015039,-5395.913488897416,4239.035407775673
CALSPHERE 1,2025-06-29 16:05:33,-3301.523202569048,-6580.452150045337,103.5599271248627
CALSPHERE 1,2025-06-29 16:15:33,-2770.714804434411,-5467.199821636727,-4067.580027188857
CALSPHERE 1,2025-06-29 16:25:33,-1271.4471522136769,-2442.9908375123136,-6813.63070302695
CALSPHERE 1,2025-06-29 16:35:33,672.1222302791433,1434.8851236775824,-7173.205012336079
CALSPHERE 1,2025-06-29 16:45:33,2380.518213323499,4810.693835613853,-5018.738752305464
CALSPHERE 1,2025-06-29 16:55:33,3254.9368636663667,6501.13821663859,-1102.4448195227544
CALSPHERE 1,2025-06-29 17:05:33,2988.8325261692303,5913.5887390401,3201.3784135287515
CALSPHERE 1,2025-06-29 17:15:33,1678.2630534228567,3259.4970951922287,6385.075760678807
CALSPHERE 1,2025-06-29 17:25:33,-216.4397251758741,-529.0920000681664,7343.270694806892
CALSPHERE 1,2025-06-29 17:35:33,-2036.0928270768486,-4134.166601846842,5747.3612236236495
CALSPHERE 1,2025-06-29 17:45:33,-3147.839692335919,-6301.873390010635,2149.7943110149668
CALSPHERE 1,2025-06-29 17:55:33,-3161.6862426158264,-6271.622209757364,-2198.458565833876
CALSPHERE 1,2025-06-29 18:05:33,-2070.625633162863,-4049.653673782055,-5776.370465409746
CALSPHERE 1,2025-06-29 18:15:33,-255.8652163401104,-412.3201237602137,-7330.836710217385
CALSPHERE 1,2025-06-29 18:25:33,1648.2468031241174,3368.9452881681295,-6317.251772739256
CALSPHERE 1,2025-06-29 18:35:33,2975.3165093135567,5970.748091054327,-3087.757735574898
CALSPHERE 1,2025-06-29 18:45:33,3259.6200485751306,6479.95761091062,1226.3591987331708
CALSPHERE 1,2025-06-29 18:55:33,2403.027619286529,4721.118448419873,5111.0490164519115
CALSPHERE 1,2025-06-29 19:05:33,708.5281391608315,1316.0794808447777,7211.080173568493
CALSPHERE 1,2025-06-29 19:15:33,-1232.2569659129858,-2546.4413670142567,6801.559044791926
CALSPHERE 1,2025-06-29 19:25:33,-2745.0988031116526,-5524.6121914361165,4025.5801637432164
CALSPHERE 1,2025-06-29 19:35:33,-3301.9144312484955,-6578.74405870197,-154.54011854455808
CALSPHERE 1,2025-06-29 19:45:33,-2705.557315345373,-5335.298885158633,-4280.015531859481
CALSPHERE 1,2025-06-29 19:55:33,-1163.4685546930923,-2226.9083981240833,-6905.929061920627
CALSPHERE 1,2025-06-29 20:05:33,785.196023285704,1659.6522425125156,-7112.976384240988
CALSPHERE 1,2025-06-29 20:15:33,2459.1211654319686,4965.493938398703,-4826.88893590336
CALSPHERE 1,2025-06-29 20:25:33,3271.497823885611,6531.6712037947,-846.2204545082989
CALSPHERE 1,2025-06-29 20:35:33,2937.6913670629233,5809.441295263529,3432.0055200318407
CALSPHERE 1,2025-06-29 20:45:33,1577.5774405791888,3057.6301739676933,6509.706104097623
CALSPHERE 1,2025-06-29 20:55:33,-331.496756286492,-758.1678470797611,7318.99946246878
CALSPHERE 1,2025-06-29 21:05:33,-2125.566166668095,-4310.902402443618,5582.680982272756
CALSPHERE 1,2025-06-29 21:15:33,-3180.47504581181,-6364.525812927686,1901.7146454396689
CALSPHERE 1,2025-06-29 21:25:33,-3125.863357773943,-6197.864256535081,-2443.38287318459
CALSPHERE 1,2025-06-29 21:35:33,-1978.7544706534272,-3865.0457881733796,-5932.29583244599
CALSPHERE 1,2025-06-29 21:45:33,-140.04112992107213,-181.35661838582783,-7343.111054980995
CALSPHERE 1,2025-06-29 21:55:33,1747.5396120828655,3565.533379810816,-6181.434612984123
CALSPHERE 1,2025-06-29 22:05:33,3023.2765760878037,6064.055231914313,-2851.303709701438
CALSPHERE 1,2025-06-29 22:15:33,3239.4768266129363,6437.358912776693,1480.40495699829
CALSPHERE 1,2025-06-29 22:25:33,2322.0827192442093,4558.0235160095535,5293.728244449382
